,original_id,code_id
222,ECLI_CZ_NS_2012_22.CDO.1344.2011.1.xmi,222
223,614030.xmi,223
224,ECLI_CZ_NS_2018_8.TDO.1234.2018.1.xmi,224
225,ECLI_CZ_NS_2023_24.CDO.2160.2023.1.xmi,225
226,ECLI_CZ_NS_2018_28.CDO.2553.2018.1.xmi,226
227,615514.xmi,227
228,ECLI_CZ_NS_2015_21.CDO.896.2014.1.xmi,228
229,617172.xmi,229
230,ECLI_CZ_NS_2015_22.CDO.2059.2015.1.xmi,230
231,ECLI_CZ_NS_1997_2.CDON.1026.96.1.xmi,231
232,ECLI_CZ_NS_2024_29.ICDO.80.2023.1.xmi,232
233,ECLI_CZ_NS_2023_25.CDO.263.2022.1.xmi,233
234,712625.xmi,234
235,ECLI_CZ_NS_2018_26.CDO.1809.2018.1.xmi,235
236,ECLI_CZ_NS_2012_3.TZ.72.2012.1.xmi,236
237,ECLI_CZ_NS_2009_4.TZ.114.2008.1.xmi,237
238,ECLI_CZ_NS_2015_11.TCU.77.2015.1.xmi,238
239,246646.xmi,239
240,ECLI_CZ_NS_2009_21.CUL.13.2009.1.xmi,240
241,ECLI_CZ_NS_2023_7.TZ.66.2023.1.xmi,241
242,ECLI_CZ_NS_2018_29.CDO.572.2018.1.xmi,242
243,ECLI_CZ_NS_2003_20.CDO.1981.2002.1.xmi,243
244,ECLI_CZ_NS_2003_33.ODO.9.2003.1.xmi,244
245,ECLI_CZ_NS_2018_23.CDO.5145.2017.1.xmi,245
246,ECLI_CZ_NS_2024_21.CDO.1062.2023.1.xmi,246
247,ECLI_CZ_NS_2012_3.TZ.80.2012.1.xmi,247
248,ECLI_CZ_NS_2009_29.ODO.988.2006.1.xmi,248
249,ECLI_CZ_NS_2000_26.CDO.1115.2000.1.xmi,249
250,ECLI_CZ_NS_2021_27.CDO.754.2020.2.xmi,250
251,ECLI_CZ_NS_1997_2.ODON.41.97.1.xmi,251
252,623564.xmi,252
253,647970.xmi,253
254,ECLI_CZ_NS_2003_4.TZ.13.2003.1.xmi,254
255,ECLI_CZ_NS_2018_28.NCU.43.2018.1.xmi,255
256,714509.xmi,256
257,670059.xmi,257
258,ECLI_CZ_NS_2018_27.CDO.1950.2017.1.xmi,258
259,ECLI_CZ_NS_2009_8.TDO.1596.2008.1.xmi,259
260,ECLI_CZ_NS_2021_33.CDO.3027.2020.1.xmi,260
261,ECLI_CZ_NS_2015_4.TZ.18.2015.1.xmi,261
262,246118.xmi,262
263,ECLI_CZ_NS_2018_7.TDO.94.2018.1.xmi,263
264,635665.xmi,264
265,239085.html.xmi,265
266,635275.xmi,266
267,ECLI_CZ_NS_2003_21.CDO.850.2002.1.xmi,267
268,614872.xmi,268
269,ECLI_CZ_NS_2009_4.ND.244.2009.1.xmi,269
270,ECLI_CZ_NS_2006_33.ODO.1377.2004.1.xmi,270
271,636184.xmi,271
