Experiment,Type,LIN,SI,CL,D,HI,PL,TI,PC,Macro Avg
multilabel_llama_base_asy_filtered,Positive,59.22,33.36,87.83,100.0,6.06,84.62,62.81,47.57,60.18
multilabel_llama_base_asy_filtered,Negative,95.65,88.21,86.37,100.0,96.92,91.78,85.39,95.19,92.44
multilabel_llama_base_asy_filtered,Average,77.44,60.79,87.1,100.0,51.49,88.2,74.1,71.38,76.31
paragraph-multilabel-llama-base-full-finetune-asy,Positive,57.03,39.28,83.67,65.28,42.28,74.48,57.34,46.24,58.2
paragraph-multilabel-llama-base-full-finetune-asy,Negative,97.33,93.79,91.67,99.17,98.55,93.9,92.47,96.27,95.39
paragraph-multilabel-llama-base-full-finetune-asy,Average,77.18,66.54,87.67,82.22,70.41,84.19,74.9,71.26,76.8
